id,mission_reward_id,reward_type,reward_id,reward_num
187,71004015,8,91002,30
188,71004015,2,22002,1
189,71004016,8,91002,60
190,71004016,2,22002,2
191,71004017,8,91002,60
192,71004017,2,22002,2
193,71004018,8,91002,60
194,71004018,2,22002,2
195,71004019,8,91002,60
196,71004019,2,22002,2
197,71004020,8,91002,60
198,71004020,2,22002,2
199,71004021,12,94002,50000
200,71004022,12,94002,100000
201,71004023,12,94002,150000
202,71004024,12,94002,200000
203,71004025,8,91002,50
204,71004026,2,31076,1
205,71004027,2,31076,1
206,71004028,2,31076,2
207,71004029,2,31076,2
208,71004030,2,31076,4
209,71004031,2,31076,10
210,61005001,2,60042,5
211,61005002,2,60042,5
212,71005001,8,91002,30
213,71005001,2,22002,1
214,71005002,8,91002,30
215,71005002,2,22002,1
216,71005003,8,91002,30
217,71005003,2,22002,1
218,71005004,8,91002,30
219,71005004,2,22002,1
220,71005005,8,91002,30
221,71005005,2,22002,1
222,71005006,8,91002,30
223,71005006,2,22002,1
224,71005007,8,91002,30
225,71005007,2,22002,1
226,71005008,8,91002,30
227,71005008,2,22002,1
228,71005009,8,91002,30
229,71005009,2,22002,1
230,71005010,8,91002,30
231,71005010,2,22002,1
232,71005011,8,91002,30
233,71005011,2,22002,1
234,71005012,8,91002,30
235,71005012,2,22002,1
236,71005013,8,91002,30
237,71005013,2,22002,1
238,71005014,8,91002,30
239,71005014,2,22002,1
240,71005015,8,91002,30
241,71005015,2,22002,1
242,71005016,8,91002,60
243,71005016,2,22002,2
244,71005017,8,91002,60
245,71005017,2,22002,2
246,71005018,8,91002,60
247,71005018,2,22002,2
248,71005019,8,91002,60
249,71005019,2,22002,2
250,71005020,8,91002,60
251,71005020,2,22002,2
252,71005021,12,94002,50000
253,71005022,12,94002,100000
254,71005023,12,94002,150000
255,71005024,12,94002,200000
256,71005025,8,91002,50
257,71005026,2,31080,1
258,71005027,2,31080,1
259,71005028,2,31080,2
260,71005029,2,31080,2
261,71005030,2,31080,4
262,71005031,2,31080,10
263,61006001,2,60052,5
264,61006002,2,60052,5
265,71006001,8,91002,30
266,71006001,2,22002,1
267,71006002,8,91002,30
268,71006002,2,22002,1
269,71006003,8,91002,30
270,71006003,2,22002,1
271,71006004,8,91002,30
272,71006004,2,22002,1
273,71006005,8,91002,30
274,71006005,2,22002,1
275,71006006,8,91002,30
276,71006006,2,22002,1
277,71006007,8,91002,30
278,71006007,2,22002,1
279,71006008,8,91002,30
280,71006008,2,22002,1
281,71006009,8,91002,30
282,71006009,2,22002,1
283,71006010,8,91002,30
284,71006010,2,22002,1
285,71006011,8,91002,30
286,71006011,2,22002,1
287,71006012,8,91002,30
288,71006012,2,22002,1
289,71006013,8,91002,30
290,71006013,2,22002,1
291,71006014,8,91002,30
292,71006014,2,22002,1
293,71006015,8,91002,30
294,71006015,2,22002,1
295,71006016,8,91002,60
296,71006016,2,22002,2
297,71006017,8,91002,60
298,71006017,2,22002,2
299,71006018,8,91002,60
300,71006018,2,22002,2
301,71006019,8,91002,60
302,71006019,2,22002,2
303,71006020,8,91002,60
304,71006020,2,22002,2
305,71006021,12,94002,50000
306,71006022,12,94002,100000
307,71006023,12,94002,150000
308,71006024,12,94002,200000
309,71006025,8,91002,50
310,71006026,2,31047,1
311,71006027,2,31047,1
312,71006028,2,31047,2
313,71006029,2,31047,2
314,71006030,2,31047,4
315,71006031,2,31047,10
316,61007001,2,60062,5
317,61007002,2,60062,5
318,71007001,8,91002,30
319,71007001,2,22002,1
320,71007002,8,91002,30
321,71007002,2,22002,1
322,71007003,8,91002,30
323,71007003,2,22002,1
324,71007004,8,91002,30
325,71007004,2,22002,1
326,71007005,8,91002,30
327,71007005,2,22002,1
328,71007006,8,91002,30
329,71007006,2,22002,1
330,71007007,8,91002,30
331,71007007,2,22002,1
332,71007008,8,91002,30
333,71007008,2,22002,1
334,71007009,8,91002,30
335,71007009,2,22002,1
336,71007010,8,91002,30
337,71007010,2,22002,1
338,71007011,8,91002,30
339,71007011,2,22002,1
340,71007012,8,91002,30
341,71007012,2,22002,1
342,71007013,8,91002,30
343,71007013,2,22002,1
344,71007014,8,91002,30
345,71007014,2,22002,1
346,71007015,8,91002,30
347,71007015,2,22002,1
348,71007016,8,91002,60
349,71007016,2,22002,2
350,71007017,8,91002,60
351,71007017,2,22002,2
352,71007018,8,91002,60
353,71007018,2,22002,2
354,71007019,8,91002,60
355,71007019,2,22002,2
356,71007020,8,91002,60
357,71007020,2,22002,2
358,71007021,12,94002,50000
359,71007022,12,94002,100000
360,71007023,12,94002,150000
361,71007024,12,94002,200000
362,71007025,8,91002,50
363,71007026,2,31082,1
364,71007027,2,31082,1
365,71007028,2,31082,2
366,71007029,2,31082,2
367,71007030,2,31082,4
369,71007032,2,31082,10
370,61008001,2,60072,5
371,61008002,2,60072,5
372,71008001,8,91002,30
373,71008001,2,22002,1
374,71008002,8,91002,30
375,71008002,2,22002,1
376,71008003,8,91002,30
377,71008003,2,22002,1
378,71008004,8,91002,30
379,71008004,2,22002,1
380,71008005,8,91002,30
381,71008005,2,22002,1
382,71008006,8,91002,30
383,71008006,2,22002,1
384,71008007,8,91002,30
385,71008007,2,22002,1
386,71008008,8,91002,30
387,71008008,2,22002,1
388,71008009,8,91002,30
389,71008009,2,22002,1
390,71008010,8,91002,30
391,71008010,2,22002,1
392,71008011,8,91002,30
393,71008011,2,22002,1
394,71008012,8,91002,30
395,71008012,2,22002,1
396,71008013,8,91002,30
397,71008013,2,22002,1
398,71008014,8,91002,30
399,71008014,2,22002,1
400,71008015,8,91002,30
401,71008015,2,22002,1
402,71008016,8,91002,60
403,71008016,2,22002,2
404,71008017,8,91002,60
405,71008017,2,22002,2
406,71008018,8,91002,60
407,71008018,2,22002,2
408,71008019,8,91002,60
409,71008019,2,22002,2
410,71008020,8,91002,60
411,71008020,2,22002,2
412,71008021,12,94002,50000
413,71008022,12,94002,100000
414,71008023,12,94002,150000
415,71008024,12,94002,200000
416,71008025,8,91002,50
417,71008026,2,31009,1
418,71008027,2,31009,1
419,71008028,2,31009,2
420,71008029,2,31009,2
421,71008030,2,31009,4
422,71008031,2,31009,10
423,61009001,2,60082,5
424,61009002,2,60082,5
425,71009001,8,91002,30
426,71009001,2,22002,1
427,71009002,8,91002,30
428,71009002,2,22002,1
429,71009003,8,91002,30
430,71009003,2,22002,1
431,71009004,8,91002,30
432,71009004,2,22002,1
433,71009005,8,91002,30
434,71009005,2,22002,1
435,71009006,8,91002,30
436,71009006,2,22002,1
437,71009007,8,91002,30
438,71009007,2,22002,1
439,71009008,8,91002,30
440,71009008,2,22002,1
441,71009009,8,91002,30
442,71009009,2,22002,1
443,71009010,8,91002,30
444,71009010,2,22002,1
445,71009011,8,91002,30
446,71009011,2,22002,1
447,71009012,8,91002,30
448,71009012,2,22002,1
449,71009013,8,91002,30
450,71009013,2,22002,1
451,71009014,8,91002,30
452,71009014,2,22002,1
453,71009015,8,91002,30
454,71009015,2,22002,1
455,71009016,8,91002,60
456,71009016,2,22002,2
457,71009017,8,91002,60
458,71009017,2,22002,2
459,71009018,8,91002,60
460,71009018,2,22002,2
461,71009019,8,91002,60
462,71009019,2,22002,2
463,71009020,8,91002,60
464,71009020,2,22002,2
465,71009021,12,94002,50000
466,71009022,12,94002,100000
467,71009023,12,94002,150000
468,71009024,12,94002,200000
469,71009025,8,91002,50
470,71009026,2,31085,1
471,71009027,2,31085,1
472,71009028,2,31085,2
473,71009029,2,31085,2
474,71009030,2,31085,4
475,71009031,1,108501,1
476,71009032,2,31085,10
477,61010001,2,60092,5
478,61010002,2,60092,5
479,71010001,8,91002,30
480,71010001,2,22002,1
481,71010002,8,91002,30
482,71010002,2,22002,1
483,71010003,8,91002,30
484,71010003,2,22002,1
485,71010004,8,91002,30
486,71010004,2,22002,1
487,71010005,8,91002,30
488,71010005,2,22002,1
489,71010006,8,91002,30
490,71010006,2,22002,1
491,71010007,8,91002,30
492,71010007,2,22002,1
493,71010008,8,91002,30
494,71010008,2,22002,1
495,71010009,8,91002,30
496,71010009,2,22002,1
497,71010010,8,91002,30
498,71010010,2,22002,1
499,71010011,8,91002,30
500,71010011,2,22002,1
501,71010012,8,91002,30
502,71010012,2,22002,1
503,71010013,8,91002,30
504,71010013,2,22002,1
505,71010014,8,91002,30
506,71010014,2,22002,1
507,71010015,8,91002,30
508,71010015,2,22002,1
509,71010016,8,91002,60
510,71010016,2,22002,2
511,71010017,8,91002,60
512,71010017,2,22002,2
513,71010018,8,91002,60
514,71010018,2,22002,2
515,71010019,8,91002,60
516,71010019,2,22002,2
517,71010020,8,91002,60
518,71010020,2,22002,2
519,71010021,12,94002,50000
520,71010022,12,94002,100000
521,71010023,12,94002,150000
522,71010024,12,94002,200000
523,71010025,8,91002,50
524,71010026,2,31089,1
525,71010027,2,31089,1
526,71010028,2,31089,2
527,71010029,2,31089,2
528,71010030,2,31089,4
529,71010031,1,108901,1
530,71010032,2,31089,10
531,81010001,2,31089,2
532,81010001,8,91002,30
533,81010002,2,60092,100
534,81010002,12,94002,30000
535,81010003,2,60092,100
536,81010003,12,94002,30000
537,81010004,2,31089,2
538,81010004,8,91002,30
539,81010005,2,60092,100
540,81010005,12,94002,30000
541,81010006,2,60092,100
542,81010006,12,94002,30000
543,81010007,2,31089,2
544,81010007,8,91002,30
545,61011001,2,60102,5
546,61011002,2,60102,5
547,61011003,2,60104,4
548,61011003,2,60105,2
549,71011001,8,91002,30
550,71011001,2,22002,1
551,71011002,8,91002,30
552,71011002,2,22002,1
553,71011003,8,91002,30
554,71011003,2,22002,1
555,71011004,8,91002,30
556,71011004,2,22002,1
557,71011005,8,91002,30
558,71011005,2,22002,1
559,71011006,8,91002,30
560,71011006,2,22002,1
561,71011007,8,91002,30
562,71011007,2,22002,1
563,71011008,8,91002,30
564,71011008,2,22002,1
565,71011009,8,91002,30
566,71011009,2,22002,1
567,71011010,8,91002,30
568,71011010,2,22002,1
569,71011011,8,91002,30
570,71011011,2,22002,1
571,71011012,8,91002,30
572,71011012,2,22002,1
573,71011013,8,91002,30
574,71011013,2,22002,1
575,71011014,8,91002,30
576,71011014,2,22002,1
577,71011015,8,91002,30
578,71011015,2,22002,1
579,71011016,8,91002,60
580,71011016,2,22002,2
581,71011017,8,91002,60
582,71011017,2,22002,2
583,71011018,8,91002,60
584,71011018,2,22002,2
585,71011019,8,91002,60
586,71011019,2,22002,2
587,71011020,8,91002,60
588,71011020,2,22002,2
589,71011021,12,94002,50000
590,71011022,12,94002,100000
591,71011023,12,94002,150000
592,71011024,12,94002,200000
593,71011025,8,91002,50
594,71011026,2,31090,1
595,71011027,2,31090,1
596,71011028,2,31090,2
597,71011029,2,31090,2
598,71011030,2,31090,4
599,71011031,1,109001,1
600,71011032,2,31090,10
601,81011001,2,31090,2
602,81011001,8,91002,30
603,81011002,2,60102,100
604,81011002,12,94002,30000
605,81011003,2,60102,100
606,81011003,12,94002,30000
607,81011004,2,31090,2
608,81011004,8,91002,30
609,81011005,2,60102,100
610,81011005,12,94002,30000
611,81011006,2,60102,100
612,81011006,12,94002,30000
613,81011007,2,31090,2
614,81011007,8,91002,30
615,61012001,2,60112,5
616,61012002,2,60112,5
617,71012001,8,91002,30
618,71012001,2,22002,1
619,71012002,8,91002,30
620,71012002,2,22002,1
621,71012003,8,91002,30
622,71012003,2,22002,1
623,71012004,8,91002,30
624,71012004,2,22002,1
625,71012005,8,91002,30
626,71012005,2,22002,1
627,71012006,8,91002,30
628,71012006,2,22002,1
629,71012007,8,91002,30
630,71012007,2,22002,1
631,71012008,8,91002,30
632,71012008,2,22002,1
633,71012009,8,91002,30
634,71012009,2,22002,1
635,71012010,8,91002,30
636,71012010,2,22002,1
637,71012011,8,91002,30
638,71012011,2,22002,1
639,71012012,8,91002,30
640,71012012,2,22002,1
641,71012013,8,91002,30
642,71012013,2,22002,1
643,71012014,8,91002,30
644,71012014,2,22002,1
645,71012015,8,91002,30
646,71012015,2,22002,1
647,71012016,8,91002,60
648,71012016,2,22002,2
649,71012017,8,91002,60
650,71012017,2,22002,2
651,71012018,8,91002,60
652,71012018,2,22002,2
653,71012019,8,91002,60
654,71012019,2,22002,2
655,71012020,8,91002,60
656,71012020,2,22002,2
657,71012021,12,94002,50000
658,71012022,12,94002,100000
659,71012023,12,94002,150000
660,71012024,12,94002,200000
661,71012025,8,91002,50
662,71012026,2,31043,1
663,71012027,2,31043,1
664,71012028,2,31043,2
665,71012029,2,31043,2
666,71012030,2,31043,4
667,71012031,2,31043,10
668,81012001,2,31043,2
669,81012001,8,91002,30
670,81012002,2,60112,100
671,81012002,12,94002,30000
672,81012003,2,60112,100
673,81012003,12,94002,30000
674,81012004,2,31043,2
675,81012004,8,91002,30
676,81012005,2,60112,100
677,81012005,12,94002,30000
678,81012006,2,60112,100
679,81012006,12,94002,30000
680,81012007,2,31043,2
681,81012007,8,91002,30
682,61013001,2,60122,5
683,61013002,2,60122,5
684,71013001,8,91002,30
685,71013001,2,22002,1
686,71013002,8,91002,30
687,71013002,2,22002,1
688,71013003,8,91002,30
689,71013003,2,22002,1
690,71013004,8,91002,30
691,71013004,2,22002,1
692,71013005,8,91002,30
693,71013005,2,22002,1
694,71013006,8,91002,30
695,71013006,2,22002,1
696,71013007,8,91002,30
697,71013007,2,22002,1
698,71013008,8,91002,30
699,71013008,2,22002,1
700,71013009,8,91002,30
701,71013009,2,22002,1
702,71013010,8,91002,30
703,71013010,2,22002,1
704,71013011,8,91002,30
705,71013011,2,22002,1
706,71013012,8,91002,30
707,71013012,2,22002,1
708,71013013,8,91002,30
709,71013013,2,22002,1
710,71013014,8,91002,30
711,71013014,2,22002,1
712,71013015,8,91002,30
713,71013015,2,22002,1
714,71013016,8,91002,60
715,71013016,2,22002,2
716,71013017,8,91002,60
717,71013017,2,22002,2
718,71013018,8,91002,60
719,71013018,2,22002,2
720,71013019,8,91002,60
721,71013019,2,22002,2
722,71013020,8,91002,60
723,71013020,2,22002,2
724,71013021,12,94002,50000
725,71013022,12,94002,100000
726,71013023,12,94002,150000
727,71013024,12,94002,200000
728,71013025,8,91002,50
729,71013026,2,31093,1
730,71013027,2,31093,1
731,71013028,2,31093,2
732,71013029,2,31093,2
733,71013030,2,31093,4
734,71013031,1,109301,1
735,71013032,2,31093,10
736,81013001,2,31093,2
737,81013001,8,91002,30
738,81013002,2,60122,100
739,81013002,12,94002,30000
740,81013003,2,60122,100
741,81013003,12,94002,30000
742,81013004,2,31093,2
743,81013004,8,91002,30
744,81013005,2,60122,100
745,81013005,12,94002,30000
746,81013006,2,60122,100
747,81013006,12,94002,30000
748,81013007,2,31093,2
749,81013007,8,91002,30
750,61014001,2,60132,5
751,61014002,2,60132,5
752,71014001,8,91002,30
753,71014001,2,22002,1
754,71014002,8,91002,30
755,71014002,2,22002,1
756,71014003,8,91002,30
757,71014003,2,22002,1
758,71014004,8,91002,30
759,71014004,2,22002,1
760,71014005,8,91002,30
761,71014005,2,22002,1
762,71014006,8,91002,30
763,71014006,2,22002,1
764,71014007,8,91002,30
765,71014007,2,22002,1
766,71014008,8,91002,30
767,71014008,2,22002,1
768,71014009,8,91002,30
769,71014009,2,22002,1
770,71014010,8,91002,30
771,71014010,2,22002,1
772,71014011,8,91002,30
773,71014011,2,22002,1
774,71014012,8,91002,30
775,71014012,2,22002,1
776,71014013,8,91002,30
777,71014013,2,22002,1
778,71014014,8,91002,30
779,71014014,2,22002,1
780,71014015,8,91002,30
781,71014015,2,22002,1
782,71014016,8,91002,60
783,71014016,2,22002,2
784,71014017,8,91002,60
785,71014017,2,22002,2
786,71014018,8,91002,60
787,71014018,2,22002,2
788,71014019,8,91002,60
789,71014019,2,22002,2
790,71014020,8,91002,60
791,71014020,2,22002,2
792,71014021,12,94002,50000
793,71014022,12,94002,100000
794,71014023,12,94002,150000
795,71014024,12,94002,200000
796,71014025,8,91002,50
797,71014026,2,31012,1
798,71014027,2,31012,1
799,71014028,2,31012,1
800,71014029,2,31012,1
801,71014030,2,31012,1
802,71014031,2,31012,4
803,61015001,2,60142,5
804,61015002,2,60142,5
805,71015001,8,91002,30
806,71015001,2,22002,1
807,71015002,8,91002,30
808,71015002,2,22002,1
809,71015003,8,91002,30
810,71015003,2,22002,1
811,71015004,8,91002,30
812,71015004,2,22002,1
813,71015005,8,91002,30
814,71015005,2,22002,1
815,71015006,8,91002,30
816,71015006,2,22002,1
817,71015007,8,91002,30
818,71015007,2,22002,1
819,71015008,8,91002,30
820,71015008,2,22002,1
821,71015009,8,91002,30
822,71015009,2,22002,1
823,71015010,8,91002,30
824,71015010,2,22002,1
825,71015011,8,91002,30
826,71015011,2,22002,1
827,71015012,8,91002,30
828,71015012,2,22002,1
829,71015013,8,91002,30
830,71015013,2,22002,1
831,71015014,8,91002,30
832,71015014,2,22002,1
833,71015015,8,91002,30
834,71015015,2,22002,1
835,71015016,8,91002,60
836,71015016,2,22002,2
837,71015017,8,91002,60
838,71015017,2,22002,2
839,71015018,8,91002,60
840,71015018,2,22002,2
841,71015019,8,91002,60
842,71015019,2,22002,2
843,71015020,8,91002,60
844,71015020,2,22002,2
845,71015021,12,94002,50000
846,71015022,12,94002,100000
847,71015023,12,94002,150000
848,71015024,12,94002,200000
849,71015025,8,91002,50
850,71015026,2,31053,1
851,71015027,2,31053,1
852,71015028,2,31053,2
853,71015029,2,31053,2
854,71015030,2,31053,4
855,71015031,2,31053,10
856,81015001,2,31053,2
857,81015001,8,91002,30
858,81015002,2,60142,100
859,81015002,12,94002,30000
860,81015003,2,60142,100
861,81015003,12,94002,30000
862,81015004,2,31053,2
863,81015004,8,91002,30
864,81015005,2,60142,100
865,81015005,12,94002,30000
866,81015006,2,60142,100
867,81015006,12,94002,30000
868,81015007,2,31053,2
869,81015007,8,91002,30
871,61016001,2,60152,5
872,61016002,2,60152,5
873,71016001,8,91002,30
874,71016001,2,22002,1
875,71016002,8,91002,30
876,71016002,2,22002,1
877,71016003,8,91002,30
878,71016003,2,22002,1
879,71016004,8,91002,30
880,71016004,2,22002,1
881,71016005,8,91002,30
882,71016005,2,22002,1
883,71016006,8,91002,30
884,71016006,2,22002,1
885,71016007,8,91002,30
886,71016007,2,22002,1
887,71016008,8,91002,30
888,71016008,2,22002,1
889,71016009,8,91002,30
890,71016009,2,22002,1
891,71016010,8,91002,30
892,71016010,2,22002,1
893,71016011,8,91002,30
894,71016011,2,22002,1
895,71016012,8,91002,30
896,71016012,2,22002,1
897,71016013,8,91002,30
898,71016013,2,22002,1
899,71016014,8,91002,30
900,71016014,2,22002,1
901,71016015,8,91002,30
902,71016015,2,22002,1
903,71016016,8,91002,60
904,71016016,2,22002,2
905,71016017,8,91002,60
906,71016017,2,22002,2
907,71016018,8,91002,60
908,71016018,2,22002,2
909,71016019,8,91002,60
910,71016019,2,22002,2
911,71016020,8,91002,60
912,71016020,2,22002,2
913,71016021,12,94002,50000
914,71016022,12,94002,100000
915,71016023,12,94002,150000
916,71016024,12,94002,200000
917,71016025,8,91002,50
918,71016026,2,31020,1
919,71016027,2,31020,1
920,71016028,2,31020,1
921,71016029,2,31020,1
922,71016030,2,31020,1
923,71016031,2,31020,4
10017001,61017001,2,60162,5
10017002,61017002,2,60162,5
10017003,71017001,8,91002,30
10017004,71017001,2,22002,1
10017005,71017002,8,91002,30
10017006,71017002,2,22002,1
10017007,71017003,8,91002,30
10017008,71017003,2,22002,1
10017009,71017004,8,91002,30
10017010,71017004,2,22002,1
10017011,71017005,8,91002,30
10017012,71017005,2,22002,1
10017013,71017006,8,91002,30
10017014,71017006,2,22002,1
10017015,71017007,8,91002,30
10017016,71017007,2,22002,1
10017017,71017008,8,91002,30
10017018,71017008,2,22002,1
10017019,71017009,8,91002,30
10017020,71017009,2,22002,1
10017021,71017010,8,91002,30
10017022,71017010,2,22002,1
10017023,71017011,8,91002,30
10017024,71017011,2,22002,1
10017025,71017012,8,91002,30
10017026,71017012,2,22002,1
10017027,71017013,8,91002,30
10017028,71017013,2,22002,1
10017029,71017014,8,91002,30
10017030,71017014,2,22002,1
10017031,71017015,8,91002,30
10017032,71017015,2,22002,1
10017033,71017016,8,91002,60
10017034,71017016,2,22002,2
10017035,71017017,8,91002,60
10017036,71017017,2,22002,2
10017037,71017018,8,91002,60
10017038,71017018,2,22002,2
10017039,71017019,8,91002,60
10017040,71017019,2,22002,2
10017041,71017020,8,91002,60
10017042,71017020,2,22002,2
10017043,71017021,12,94002,50000
10017044,71017022,12,94002,100000
10017045,71017023,12,94002,150000
10017046,71017024,12,94002,200000
10017047,71017025,8,91002,50
10017048,71017026,2,31098,1
10017049,71017027,2,31098,1
10017050,71017028,2,31098,2
10017051,71017029,2,31098,2
10017052,71017030,2,31098,4
10017053,71017031,1,109801,1
10017054,71017032,2,31098,10
10017055,81017001,2,31098,2
10017056,81017001,8,91002,30
10017057,81017002,2,60162,100
10017058,81017002,12,94002,30000
10017059,81017003,2,60162,100
10017060,81017003,12,94002,30000
10017061,81017004,2,31098,2
10017062,81017004,8,91002,30
10017063,81017005,2,60162,100
10017064,81017005,12,94002,30000
10017065,81017006,2,60162,100
10017066,81017006,12,94002,30000
10017067,81017007,2,31098,2
10017068,81017007,8,91002,30
10017069,81017008,8,91002,100
10018001,61018001,2,60172,5
10018002,61018002,2,60172,5
10018003,71018001,8,91002,30
10018004,71018001,2,22002,1
10018005,71018002,8,91002,30
10018006,71018002,2,22002,1
10018007,71018003,8,91002,30
10018008,71018003,2,22002,1
10018009,71018004,8,91002,30
10018010,71018004,2,22002,1
10018011,71018005,8,91002,30
10018012,71018005,2,22002,1
10018013,71018006,8,91002,30
10018014,71018006,2,22002,1
10018015,71018007,8,91002,30
10018016,71018007,2,22002,1
10018017,71018008,8,91002,30
10018018,71018008,2,22002,1
10018019,71018009,8,91002,30
10018020,71018009,2,22002,1
10018021,71018010,8,91002,30
10018022,71018010,2,22002,1
10018023,71018011,8,91002,30
10018024,71018011,2,22002,1
10018025,71018012,8,91002,30
10018026,71018012,2,22002,1
10018027,71018013,8,91002,30
10018028,71018013,2,22002,1
10018029,71018014,8,91002,30
10018030,71018014,2,22002,1
10018031,71018015,8,91002,30
10018032,71018015,2,22002,1
10018033,71018016,8,91002,60
10018034,71018016,2,22002,2
10018035,71018017,8,91002,60
10018036,71018017,2,22002,2
10018037,71018018,8,91002,60
10018038,71018018,2,22002,2
10018039,71018019,8,91002,60
10018040,71018019,2,22002,2
10018041,71018020,8,91002,60
10018042,71018020,2,22002,2
10018043,71018021,12,94002,50000
10018044,71018022,12,94002,100000
10018045,71018023,12,94002,150000
10018046,71018024,12,94002,200000
10018047,71018025,8,91002,50
10018048,71018026,2,31010,1
10018049,71018027,2,31010,1
10018050,71018028,2,31010,1
10018051,71018029,2,31010,1
10018052,71018030,2,31010,1
10018053,71018031,2,31010,4
10019001,61019001,2,60182,5
10019002,61019002,2,60182,5
10019003,71019001,8,91002,30
