10001111,10001,10001101,11,"Targum Region 1-11",260,-20,100070,10,1,10,150,10,90,0,610001111,610001121,0,0,0,0,100101,bgm_M41,bgm_M41,0,0,100102,bgm_M41,bgm_M41,0,0,100103,bgm_M41,bgm_M41,0,0,100101,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001112,10001,10001101,12,"Targum Region 1-12",380,-130,100010,10,1,10,150,10,90,0,610001112,610001121,0,0,0,0,100061,bgm_M41,bgm_M41,0,0,100062,bgm_M41,bgm_M41,0,0,100063,bgm_M41,bgm_M41,0,0,100061,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001113,10001,10001101,13,"Targum Region 1-13",470,20,100040,10,1,10,150,10,90,0,610001113,610001121,0,0,0,0,100041,bgm_M41,bgm_M41,0,0,100042,bgm_M41,bgm_M41,0,0,100043,bgm_M41,bgm_M41,0,0,100041,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001114,10001,10001101,14,"Targum Region 1-14",570,-120,100030,10,1,10,150,10,90,0,610001114,610001121,0,0,0,0,100091,bgm_M41,bgm_M41,0,0,100092,bgm_M41,bgm_M41,0,0,100093,bgm_M41,bgm_M41,0,0,100091,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001115,10001,10001101,15,"Targum Region 1-15",680,-10,100030,10,1,10,150,10,90,0,610001115,610001123,0,0,0,0,100091,bgm_M41,bgm_M41,0,0,100092,bgm_M41,bgm_M41,0,0,100093,bgm_M41,bgm_M41,0,0,100091,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001201,10001,10001201,16,"Targum Region 1-1",-450,-40,100020,16,2,16,240,16,90,3,610001116,610001121,2,31012,1,28,100367,bgm_M41,bgm_M41,0,0,100368,bgm_M41,bgm_M41,0,0,100369,bgm_M41,bgm_M41,0,0,100367,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001202,10001,10001201,17,"Targum Region 1-2",-250,-120,100060,16,2,16,240,16,90,3,610001117,610001121,2,31038,1,28,100771,bgm_M41,bgm_M41,0,0,100772,bgm_M41,bgm_M41,0,0,100773,bgm_M41,bgm_M41,0,0,100771,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001203,10001,10001201,18,"Targum Region 1-3",-50,-20,100090,18,2,18,270,18,90,3,610001118,610001121,2,31012,1,29,100451,bgm_M41,bgm_M41,0,0,100452,bgm_M41,bgm_M41,0,0,100453,bgm_M41,bgm_M41,0,0,100451,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001204,10001,10001201,19,"Targum Region 1-4",170,70,100070,18,2,18,270,18,90,3,610001119,610001121,2,31038,1,29,100731,bgm_M41,bgm_M41,0,0,100732,bgm_M41,bgm_M41,0,0,100733,bgm_M41,bgm_M41,0,0,100731,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001205,10001,10001201,20,"Targum Region 1-5",330,-120,100030,20,2,20,300,20,90,3,610001120,610001121,2,31012,1,30,100381,bgm_M41,bgm_M41,0,0,100382,bgm_M41,bgm_M41,0,0,100383,bgm_M41,bgm_M41,0,0,100381,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10002101,10002,10002101,1,"Macina Region 1-1",-820,-120,100010,8,1,8,120,8,90,0,610002101,610002121,0,0,0,0,100061,bgm_M41,bgm_M41,0,0,100062,bgm_M41,bgm_M41,0,0,100063,bgm_M41,bgm_M41,0,0,100061,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002102,10002,10002101,2,"Macina Region 1-2",-710,20,100020,8,1,8,120,8,90,0,610002102,610002121,0,0,0,0,100014,bgm_M41,bgm_M41,0,0,100015,bgm_M41,bgm_M41,0,0,100016,bgm_M41,bgm_M41,0,0,100014,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002103,10002,10002101,3,"Macina Region 1-3",-580,-120,100010,8,1,8,120,8,90,0,610002103,610002121,0,0,0,0,100061,bgm_M41,bgm_M41,0,0,100062,bgm_M41,bgm_M41,0,0,100063,bgm_M41,bgm_M41,0,0,100061,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002104,10002,10002101,4,"Macina Region 1-4",-510,50,100020,8,1,8,120,8,90,0,610002104,610002121,0,0,0,0,100014,bgm_M41,bgm_M41,0,0,100015,bgm_M41,bgm_M41,0,0,100016,bgm_M41,bgm_M41,0,0,100014,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002105,10002,10002101,5,"Macina Region 1-5",-430,-60,100040,8,1,8,120,8,90,0,610002105,610002121,0,0,0,0,100041,bgm_M41,bgm_M41,0,0,100042,bgm_M41,bgm_M41,0,0,100043,bgm_M41,bgm_M41,0,0,100041,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002106,10002,10002101,6,"Macina Region 1-6",-340,-150,100050,9,1,9,135,9,90,0,610002106,610002121,0,0,0,0,100021,bgm_M41,bgm_M41,0,0,100022,bgm_M41,bgm_M41,0,0,100023,bgm_M41,bgm_M41,0,0,100021,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002107,10002,10002101,7,"Macina Region 1-7",-215,-80,100110,9,1,9,135,9,90,0,610002107,610002122,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002108,10002,10002101,8,"Macina Region 1-8",-75,-110,100110,9,1,9,135,9,90,0,610002108,610002121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002109,10002,10002101,9,"Macina Region 1-9",45,-50,100110,9,1,9,135,9,90,0,610002109,610002121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002110,10002,10002101,10,"Macina Region 1-10",150,40,100010,9,1,9,135,9,90,0,610002110,610002121,0,0,0,0,100061,bgm_M41,bgm_M41,0,0,100062,bgm_M41,bgm_M41,0,0,100063,bgm_M41,bgm_M41,0,0,100061,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002111,10002,10002101,11,"Macina Region 1-11",260,-70,100070,10,1,10,150,10,90,0,610002111,610002121,0,0,0,0,100171,bgm_M41,bgm_M41,0,0,100172,bgm_M41,bgm_M41,0,0,100173,bgm_M41,bgm_M41,0,0,100171,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002112,10002,10002101,12,"Macina Region 1-12",380,30,100120,10,1,10,150,10,90,0,610002112,610002121,0,0,0,0,100151,bgm_M41,bgm_M41,0,0,100152,bgm_M41,bgm_M41,0,0,100153,bgm_M41,bgm_M41,0,0,100151,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002113,10002,10002101,13,"Macina Region 1-13",470,-100,100080,10,1,10,150,10,90,0,610002113,610002121,0,0,0,0,101141,bgm_M41,bgm_M41,0,0,101142,bgm_M41,bgm_M41,0,0,101143,bgm_M41,bgm_M41,0,0,101141,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002114,10002,10002101,14,"Macina Region 1-14",570,40,100080,10,1,10,150,10,90,0,610002114,610002121,0,0,0,0,101141,bgm_M41,bgm_M41,0,0,101142,bgm_M41,bgm_M41,0,0,101143,bgm_M41,bgm_M41,0,0,101141,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002115,10002,10002101,15,"Macina Region 1-15",680,-70,100080,10,1,10,150,10,90,0,610002115,610002123,0,0,0,0,101141,bgm_M41,bgm_M41,0,0,101142,bgm_M41,bgm_M41,0,0,101143,bgm_M41,bgm_M41,0,0,101141,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002201,10002,10002201,16,"Macina Region 1-1",-450,-10,100110,16,2,16,240,16,90,3,610002116,610002121,2,31020,1,28,100471,bgm_M41,bgm_M41,0,0,100472,bgm_M41,bgm_M41,0,0,100473,bgm_M41,bgm_M41,0,0,100471,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002202,10002,10002201,17,"Macina Region 1-2",-250,-100,100070,16,2,16,240,16,90,3,610002117,610002121,2,31004,1,28,100811,bgm_M41,bgm_M41,0,0,100812,bgm_M41,bgm_M41,0,0,100813,bgm_M41,bgm_M41,0,0,100811,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002203,10002,10002201,18,"Macina Region 1-3",-50,20,100120,18,2,18,270,18,90,3,610002118,610002121,2,31020,1,29,100791,bgm_M41,bgm_M41,0,0,100792,bgm_M41,bgm_M41,0,0,100793,bgm_M41,bgm_M41,0,0,100791,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002204,10002,10002201,19,"Macina Region 1-4",120,-110,100080,18,2,18,270,18,90,3,610002119,610002121,2,31004,1,29,101151,bgm_M41,bgm_M41,0,0,101152,bgm_M41,bgm_M41,0,0,101153,bgm_M41,bgm_M41,0,0,101151,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10002205,10002,10002201,20,"Macina Region 1-5",290,-10,100080,20,2,20,300,20,90,3,610002120,610002121,2,31020,1,30,101151,bgm_M41,bgm_M41,0,0,101152,bgm_M41,bgm_M41,0,0,101153,bgm_M41,bgm_M41,0,0,101151,0,"2021/03/22 23:00:00","2021/04/15 22:59:59"
10003101,10003,10003101,1,"Landosol Outskirts 1-1",-820,-90,100010,8,1,8,120,8,90,0,610003101,610003121,0,0,0,0,100064,bgm_M41,bgm_M41,0,0,100065,bgm_M41,bgm_M41,0,0,100066,bgm_M41,bgm_M41,0,0,100064,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003102,10003,10003101,2,"Landosol Outskirts 1-2",-700,20,100020,8,1,8,120,8,90,0,610003102,610003121,0,0,0,0,100021,bgm_M41,bgm_M41,0,0,100022,bgm_M41,bgm_M41,0,0,100023,bgm_M41,bgm_M41,0,0,100021,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003103,10003,10003101,3,"Landosol Outskirts 1-3",-600,-120,100010,8,1,8,120,8,90,0,610003103,610003121,0,0,0,0,100067,bgm_M41,bgm_M41,0,0,100068,bgm_M41,bgm_M41,0,0,100069,bgm_M41,bgm_M41,0,0,100067,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003104,10003,10003101,4,"Landosol Outskirts 1-4",-500,40,100040,8,1,8,120,8,90,0,610003104,610003121,0,0,0,0,100125,bgm_M41,bgm_M41,0,0,100126,bgm_M41,bgm_M41,0,0,100127,bgm_M41,bgm_M41,0,0,100125,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003105,10003,10003101,5,"Landosol Outskirts 1-5",-400,-70,100050,8,1,8,120,8,90,0,610003105,610003121,0,0,0,0,100081,bgm_M41,bgm_M41,0,0,100082,bgm_M41,bgm_M41,0,0,100083,bgm_M41,bgm_M41,0,0,100081,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003106,10003,10003101,6,"Landosol Outskirts 1-6",-260,-110,100010,9,1,9,135,9,90,0,610003106,610003121,0,0,0,0,100074,bgm_M41,bgm_M41,0,0,100075,bgm_M41,bgm_M41,0,0,100076,bgm_M41,bgm_M41,0,0,100074,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003107,10003,10003101,7,"Landosol Outskirts 1-7",-180,25,100040,9,1,9,135,9,90,0,610003107,610003122,0,0,0,0,100111,bgm_M41,bgm_M41,0,0,100112,bgm_M41,bgm_M41,0,0,100113,bgm_M41,bgm_M41,0,0,100111,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003108,10003,10003101,8,"Landosol Outskirts 1-8",-75,-110,100010,9,1,9,135,9,90,0,610003108,610003121,0,0,0,0,100077,bgm_M41,bgm_M41,0,0,100078,bgm_M41,bgm_M41,0,0,100079,bgm_M41,bgm_M41,0,0,100077,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003109,10003,10003101,9,"Landosol Outskirts 1-9",50,-50,100080,9,1,9,135,9,90,0,610003109,610003121,0,0,0,0,100051,bgm_M41,bgm_M41,0,0,100052,bgm_M41,bgm_M41,0,0,100053,bgm_M41,bgm_M41,0,0,100051,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003110,10003,10003101,10,"Landosol Outskirts 1-10",180,20,100080,9,1,9,135,9,90,0,610003110,610003121,0,0,0,0,100051,bgm_M41,bgm_M41,0,0,100052,bgm_M41,bgm_M41,0,0,100053,bgm_M41,bgm_M41,0,0,100051,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003111,10003,10003101,11,"Landosol Outskirts 1-11",270,-100,100050,10,1,10,150,10,90,0,610003111,610003121,0,0,0,0,100031,bgm_M41,bgm_M41,0,0,100032,bgm_M41,bgm_M41,0,0,100033,bgm_M41,bgm_M41,0,0,100031,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003112,10003,10003101,12,"Landosol Outskirts 1-12",390,40,100120,10,1,10,150,10,90,0,610003112,610003121,0,0,0,0,100151,bgm_M41,bgm_M41,0,0,100152,bgm_M41,bgm_M41,0,0,100153,bgm_M41,bgm_M41,0,0,100151,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003113,10003,10003101,13,"Landosol Outskirts 1-13",490,-110,100020,10,1,10,150,10,90,0,610003113,610003121,0,0,0,0,100011,bgm_M41,bgm_M41,0,0,100012,bgm_M41,bgm_M41,0,0,100013,bgm_M41,bgm_M41,0,0,100011,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003114,10003,10003101,14,"Landosol Outskirts 1-14",570,40,100020,10,1,10,150,10,90,0,610003114,610003121,0,0,0,0,100014,bgm_M41,bgm_M41,0,0,100015,bgm_M41,bgm_M41,0,0,100016,bgm_M41,bgm_M41,0,0,100014,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003115,10003,10003101,15,"Landosol Outskirts 1-15",670,-80,100020,10,1,10,150,10,90,0,610003115,610003123,0,0,0,0,100017,bgm_M41,bgm_M41,0,0,100018,bgm_M41,bgm_M41,0,0,100019,bgm_M41,bgm_M41,0,0,100017,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003201,10003,10003201,16,"Landosol Outskirts 1-1",-450,-10,100120,16,2,16,240,16,90,3,610003116,610003121,2,31010,1,28,100791,bgm_M41,bgm_M41,0,0,100792,bgm_M41,bgm_M41,0,0,100793,bgm_M41,bgm_M41,0,0,100791,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003202,10003,10003201,17,"Landosol Outskirts 1-2",-250,-100,100040,16,2,16,240,16,90,3,610003117,610003121,2,31017,1,28,100771,bgm_M41,bgm_M41,0,0,100772,bgm_M41,bgm_M41,0,0,100773,bgm_M41,bgm_M41,0,0,100771,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003203,10003,10003201,18,"Landosol Outskirts 1-3",-50,20,100050,18,2,18,270,18,90,3,610003118,610003121,2,31010,1,29,100757,bgm_M41,bgm_M41,0,0,100758,bgm_M41,bgm_M41,0,0,100759,bgm_M41,bgm_M41,0,0,100757,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003204,10003,10003201,19,"Landosol Outskirts 1-4",120,-110,100020,18,2,18,270,18,90,3,610003119,610003121,2,31017,1,29,100361,bgm_M41,bgm_M41,0,0,100362,bgm_M41,bgm_M41,0,0,100363,bgm_M41,bgm_M41,0,0,100361,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10003205,10003,10003201,20,"Landosol Outskirts 1-5",290,-10,100020,20,2,20,300,20,90,3,610003120,610003121,2,31010,1,30,100364,bgm_M41,bgm_M41,0,0,100365,bgm_M41,bgm_M41,0,0,100366,bgm_M41,bgm_M41,0,0,100364,0,"2021/04/28 23:00:00","2021/05/22 22:59:59"
10004101,10004,10004101,1,"Tapas Beach 1-1",-820,-70,100110,8,1,8,120,8,90,0,610004101,610004121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004102,10004,10004101,2,"Tapas Beach 1-2",-700,50,100110,8,1,8,120,8,90,0,610004102,610004121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004103,10004,10004101,3,"Tapas Beach 1-3",-600,-120,100180,8,1,8,120,8,90,0,610004103,610004121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004104,10004,10004101,4,"Tapas Beach 1-4",-500,40,100110,8,1,8,120,8,90,0,610004104,610004121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004105,10004,10004101,5,"Tapas Beach 1-5",-400,-70,100180,8,1,8,120,8,90,0,610004105,610004121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004106,10004,10004101,6,"Tapas Beach 1-6",-260,-110,100080,9,1,9,135,9,90,0,610004106,610004121,0,0,0,0,100051,bgm_M41,bgm_M41,0,0,100052,bgm_M41,bgm_M41,0,0,100053,bgm_M41,bgm_M41,0,0,100051,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004107,10004,10004101,7,"Tapas Beach 1-7",-170,25,100080,9,1,9,135,9,90,0,610004107,610004122,0,0,0,0,100051,bgm_M41,bgm_M41,0,0,100052,bgm_M41,bgm_M41,0,0,100053,bgm_M41,bgm_M41,0,0,100051,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004108,10004,10004101,8,"Tapas Beach 1-8",-75,-110,100080,9,1,9,135,9,90,0,610004108,610004121,0,0,0,0,100051,bgm_M41,bgm_M41,0,0,100052,bgm_M41,bgm_M41,0,0,100053,bgm_M41,bgm_M41,0,0,100051,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004109,10004,10004101,9,"Tapas Beach 1-9",50,0,100100,9,1,9,135,9,90,0,610004109,610004121,0,0,0,0,100581,bgm_M41,bgm_M41,0,0,100582,bgm_M41,bgm_M41,0,0,100583,bgm_M41,bgm_M41,0,0,100581,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004110,10004,10004101,10,"Tapas Beach 1-10",180,40,100100,9,1,9,135,9,90,0,610004110,610004121,0,0,0,0,100581,bgm_M41,bgm_M41,0,0,100582,bgm_M41,bgm_M41,0,0,100583,bgm_M41,bgm_M41,0,0,100581,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004111,10004,10004101,11,"Tapas Beach 1-11",270,-100,100040,10,1,10,150,10,90,0,610004111,610004121,0,0,0,0,100011,bgm_M41,bgm_M41,0,0,100012,bgm_M41,bgm_M41,0,0,100013,bgm_M41,bgm_M41,0,0,100011,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004112,10004,10004101,12,"Tapas Beach 1-12",390,60,100040,10,1,10,150,10,90,0,610004112,610004121,0,0,0,0,100031,bgm_M41,bgm_M41,0,0,100032,bgm_M41,bgm_M41,0,0,100033,bgm_M41,bgm_M41,0,0,100031,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004113,10004,10004101,13,"Tapas Beach 1-13",490,-100,100180,10,1,10,150,10,90,0,610004113,610004121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004114,10004,10004101,14,"Tapas Beach 1-14",590,40,100040,10,1,10,150,10,90,0,610004114,610004121,0,0,0,0,100031,bgm_M41,bgm_M41,0,0,100032,bgm_M41,bgm_M41,0,0,100033,bgm_M41,bgm_M41,0,0,100031,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004115,10004,10004101,15,"Tapas Beach 1-15",690,-80,100180,10,1,10,150,10,90,0,610004115,610004123,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004201,10004,10004201,16,"Tapas Beach 1-1",-500,-10,100080,16,2,16,240,16,90,3,610004116,610004121,2,31076,1,28,100931,bgm_M41,bgm_M41,0,0,100932,bgm_M41,bgm_M41,0,0,100933,bgm_M41,bgm_M41,0,0,100931,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004202,10004,10004201,17,"Tapas Beach 1-2",-300,90,100110,16,2,16,240,16,90,3,610004117,610004121,2,31028,1,28,100471,bgm_M41,bgm_M41,0,0,100472,bgm_M41,bgm_M41,0,0,100473,bgm_M41,bgm_M41,0,0,100471,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004203,10004,10004201,18,"Tapas Beach 1-3",-190,-120,100040,18,2,18,270,18,90,3,610004118,610004121,2,31076,1,29,100361,bgm_M41,bgm_M41,0,0,100362,bgm_M41,bgm_M41,0,0,100363,bgm_M41,bgm_M41,0,0,100361,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004204,10004,10004201,19,"Tapas Beach 1-4",180,-110,100180,18,2,18,270,18,90,3,610004119,610004121,2,31028,1,29,100471,bgm_M41,bgm_M41,0,0,100472,bgm_M41,bgm_M41,0,0,100473,bgm_M41,bgm_M41,0,0,100471,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10004205,10004,10004201,20,"Tapas Beach 1-5",330,50,100040,20,2,20,300,20,90,3,610004120,610004121,2,31076,1,30,100896,bgm_M41,bgm_M41,0,0,100897,bgm_M41,bgm_M41,0,0,100898,bgm_M41,bgm_M41,0,0,100896,0,"2021/06/03 23:00:00","2021/06/26 22:59:59"
10005101,10005,10005101,1,"Ellusion Isle 1-1",-820,-45,100110,8,1,8,120,8,90,0,610005101,610005121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/07/09 23:00:00","2021/08/01 22:59:59"
10005102,10005,10005101,2,"Ellusion Isle 1-2",-700,50,100030,8,1,8,120,8,90,0,610005102,610005121,0,0,0,0,100091,bgm_M41,bgm_M41,0,0,100092,bgm_M41,bgm_M41,0,0,100093,bgm_M41,bgm_M41,0,0,100091,0,"2021/07/09 23:00:00","2021/08/01 22:59:59"
10005103,10005,10005101,3,"Ellusion Isle 1-3",-600,-62,100030,8,1,8,120,8,90,0,610005103,610005121,0,0,0,0,100091,bgm_M41,bgm_M41,0,0,100092,bgm_M41,bgm_M41,0,0,100093,bgm_M41,bgm_M41,0,0,100091,0,"2021/07/09 23:00:00","2021/08/01 22:59:59"
10005104,10005,10005101,4,"Ellusion Isle 1-4",-500,-183,100110,8,1,8,120,8,90,0,610005104,610005121,0,0,0,0,100201,bgm_M41,bgm_M41,0,0,100202,bgm_M41,bgm_M41,0,0,100203,bgm_M41,bgm_M41,0,0,100201,0,"2021/07/09 23:00:00","2021/08/01 22:59:59"
10005105,10005,10005101,5,"Ellusion Isle 1-5",-400,-70,100050,8,1,8,120,8,90,0,610005105,610005121,0,0,0,0,100011,bgm_M41,bgm_M41,0,0,100012,bgm_M41,bgm_M41,0,0,100013,bgm_M41,bgm_M41,0,0,100011,0,"2021/07/09 23:00:00","2021/08/01 22:59:59"
10005106,10005,10005101,6,"Ellusion Isle 1-6",-260,-40,100020,9,1,9,135,9,90,0,610005106,610005121,0,0,0,0,100021,bgm_M41,bgm_M41,0,0,100022,bgm_M41,bgm_M41,0,0,100023,bgm_M41,bgm_M41,0,0,100021,0,"2021/07/09 23:00:00","2021/08/01 22:59:59"
10005107,10005,10005101,7,"Ellusion Isle 1-7",-170,70,100070,9,1,9,135,9,90,0,610005107,610005122,0,0,0,0,100037,bgm_M41,bgm_M41,0,0,100038,bgm_M41,bgm_M41,0,0,100039,bgm_M41,bgm_M41,0,0,100037,0,"2021/07/09 23:00:00","2021/08/01 22:59:59"
