100501,7,104072,104401,104281,103583,103583,103582
100501,8,104073,104072,104432,104401,104581,103583
100501,9,104074,104073,104402,104282,104582,104581
100501,10,105071,104074,104284,104402,104583,104582
100501,11,999999,105071,999999,104284,999999,104583
100601,1,101251,101251,101371,101521,101611,101581
100601,2,102252,102251,102371,102461,101611,101581
100601,3,103251,102252,102372,102521,102612,102581
100601,4,103252,103251,103521,103521,102614,102582
100601,5,103222,103252,103371,103461,103612,103581
100601,6,104251,103222,103372,103522,103613,103582
100601,7,104252,104521,104371,103614,103583,103613
100601,8,104253,104252,104372,104461,104581,103614
100601,9,104254,104253,104523,104372,104612,104581
100601,10,105251,104254,104373,104523,104613,104582
100601,11,999999,105251,999999,104463,999999,104583
100701,1,101161,101281,101431,101431,101581,101581
100701,2,102163,102162,102341,102431,101581,101581
100701,3,103161,102432,102342,102432,102581,102581
100701,4,103162,103161,103341,103431,102582,102582
100701,5,103343,103162,103432,103162,103581,103581
100701,6,104161,103583,103343,103432,103582,103582
100701,7,104162,104431,104341,103583,103583,103432
100701,8,104163,104162,104342,104431,104581,103583
100701,9,104164,104163,104343,104342,104582,104581
100701,10,105161,104164,104433,104343,104583,104582
100701,11,999999,105161,999999,104433,999999,104583
100801,1,101251,101251,101371,101521,101611,101581
100801,2,102252,102251,102371,102461,101611,101581
100801,3,103251,102252,102372,102521,102612,102581
100801,4,103252,103251,103521,103521,102614,102582
100801,5,103222,103252,103371,103461,103612,103581
100801,6,104251,103222,103372,103522,103613,103582
100801,7,104252,104251,104371,103614,103614,103582
100801,8,104253,104252,104372,104461,104581,103614
100801,9,104254,104253,104523,104522,104582,104611
100801,10,105251,104254,104373,104462,104613,104612
100801,11,999999,105251,999999,104463,999999,104613
100901,1,101251,101251,101371,101521,101611,101611
100901,2,102222,102221,102371,102461,101611,101611
100901,3,103221,102222,102372,102521,102611,102611
100901,4,103252,103521,103251,103611,102613,102613
100901,5,103222,103252,103371,103522,103611,103611
100901,6,104221,103222,103372,103522,103371,103613
100901,7,104222,104221,104371,103614,103614,103613
100901,8,104223,104222,104522,104221,104611,103583
100901,9,104224,104223,104462,104222,104612,104581
100901,10,105221,104224,104463,104223,104613,104582
100901,11,999999,105221,999999,104224,999999,104613
101001,1,101251,101251,101371,101521,101611,101581
101001,2,102252,102251,102371,102461,101611,101581
101001,3,103251,102252,102372,102521,102612,102581
101001,4,103252,103251,103521,103521,102614,102582
101001,5,103222,103252,103371,103461,103612,103581
101001,6,104251,103222,103372,103522,103613,103582
101001,7,104252,104461,104371,103614,103222,103582
101001,8,104253,104252,104372,104461,104581,103614
101001,9,104254,104253,104523,104522,104582,104611
101001,10,105251,104254,104373,104462,104583,104612
101001,11,999999,105251,999999,104463,999999,104613
101101,1,101131,101131,101281,101551,101131,101551
101101,2,102131,102071,102341,102551,101131,101551
101101,3,103071,102131,102342,102552,102071,102551
101101,4,103131,103071,103341,103431,102131,102552
101101,5,103132,103131,103342,103342,103071,103551
101101,6,104131,103132,103343,103432,103131,103552
101101,7,104132,104131,104341,103553,103132,103582
101101,8,104133,104132,104342,104431,104551,103553
101101,9,104134,104133,104343,104432,104552,104551
101101,10,105131,104134,104344,104133,104553,104552
101101,11,999999,105131,999999,104433,999999,104553
101201,1,101251,101251,101371,101521,101611,101611
101201,2,102222,102221,102371,102461,101611,101611
101201,3,103221,102222,102372,102521,102611,102611
101201,4,103252,103221,103521,103521,102613,102613
101201,5,103222,103252,103371,103522,103611,103611
101201,6,104221,103222,103372,103522,103371,103613
101201,7,104222,104221,104371,103614,103614,103613
101201,8,104223,104222,104522,104461,104611,103583
101201,9,104224,104223,104462,104522,104612,104581
101201,10,105221,104224,104463,104523,104613,104612
101201,11,999999,105221,999999,104463,999999,104613
101501,1,101251,101251,101371,101521,101611,101581
101501,2,102252,102251,102371,102461,101611,101611
101501,3,103251,102252,102372,102521,102612,102581
101501,4,103252,103251,103521,103521,102613,102614
101501,5,103222,103252,103371,103461,103612,103581
101501,6,104251,103222,103372,103522,103613,103613
101501,7,104252,104251,104371,103614,103614,103461
101501,8,104253,104252,104372,104461,104611,103614
101501,9,104254,104253,104523,104522,104612,104611
101501,10,105251,104254,104373,104523,104613,104612
101501,11,999999,105251,999999,104463,999999,104613
101601,1,101131,101131,101281,101551,101131,101551
101601,2,102131,102071,102341,102551,101131,101551
101601,3,103071,102131,102342,102552,102071,102551
101601,4,103131,103071,103341,103551,102131,102552
101601,5,103132,103131,103342,103552,103071,103551
101601,6,104131,103132,103343,103552,103131,103552
101601,7,104132,104131,104341,103553,103553,103582
101601,8,104133,104132,104342,104131,104551,103553
101601,9,104134,104133,104343,104132,104552,104551
101601,10,105131,104134,104344,104133,104554,104552
101601,11,999999,105131,999999,104134,999999,104553
101701,1,101101,101071,101281,101431,101071,101551
101701,2,102101,102071,102341,102431,101551,101551
101701,3,103071,102101,102342,102432,102551,102551
101701,4,103101,103071,103341,103431,102552,102552
101701,5,103072,103101,103342,103432,103551,103551
101701,6,104101,103072,103343,103432,103342,103582
101701,7,104102,104101,104341,103553,103072,103552
101701,8,104103,104102,104342,104101,104551,103553
101701,9,104104,104103,104343,104102,104552,104551
101701,10,105101,104104,104344,104103,104554,104552
101701,11,999999,105101,999999,104104,999999,104553
101801,1,101251,101251,101371,101521,101611,101611
101801,2,102222,102221,102371,102461,101611,101611
101801,3,103221,102222,102372,102521,102611,102611
101801,4,103252,103221,103521,103611,102613,102613
101801,5,103222,103252,103371,103522,103611,103611
101801,6,104221,103222,103372,103522,103371,103613
101801,7,104222,104521,104371,103614,103583,103613
101801,8,104223,104222,104372,104461,104581,103583
101801,9,104224,104223,104523,104522,104612,104581
101801,10,105221,104224,104373,104462,104613,104582
101801,11,999999,105221,999999,104463,999999,104583
102001,1,101011,101191,101281,101401,101581,101551
102001,2,102013,102011,102311,102493,101281,101551
102001,3,103011,102192,102312,102401,102581,102551
102001,4,103012,103011,103281,103431,102432,102552
102001,5,103013,103192,103282,103491,103431,103551
102001,6,104011,103013,103283,103491,103401,103552
102001,7,104012,104191,104281,103553,103583,103552
102001,8,104013,104192,104282,104491,104551,103553
102001,9,104014,104193,104402,104432,104552,104551
102001,10,105011,104194,104284,104402,104553,104552
102001,11,999999,105191,999999,104433,999999,104554
102101,1,101191,101431,101281,101191,101551,101581
102101,2,102192,102431,102311,102191,101431,101581
102101,3,103191,102401,102282,102192,102191,102551
102101,4,103192,103581,103311,103191,102401,102401
102101,5,103193,103432,103282,103192,103581,103551
102101,6,104191,103583,103283,103192,103582,103282
102101,7,104192,104401,104311,103193,103583,103582
102101,8,104193,104192,104282,104491,104581,103583
102101,9,104194,104193,104313,104432,104582,104581
102101,10,105191,104194,104433,104313,104583,104582
102101,11,999999,105191,999999,104433,999999,104583
102201,1,101251,101251,101371,101521,101611,101611
102201,2,102222,102221,102371,102461,101611,101611
102201,3,103221,102222,102372,102521,102611,102611
102201,4,103252,103521,103221,103611,102613,102613
102201,5,103222,103252,103371,103522,103611,103611
102201,6,104221,103222,103372,103522,103371,103613
102201,7,104222,104221,104371,103614,103614,103522
102201,8,104223,104222,104522,104221,104611,103614
102201,9,104224,104223,104462,104222,104612,104611
102201,10,105221,104224,104463,104223,104613,104612
102201,11,999999,105221,999999,104224,999999,104613
102301,1,101191,101191,101281,101401,101551,101581
102301,2,102192,102191,102311,102493,101551,101551
102301,3,103191,102192,102282,102401,102191,102551
102301,4,103192,103191,103311,103581,102552,102552
102301,5,103193,103192,103282,103401,103191,103551
102301,6,104191,103193,103283,103401,103552,103552
102301,7,104192,104191,104311,103553,103193,103582
102301,8,104193,104192,104282,104401,104551,103553
102301,9,104194,104193,104402,104282,104552,104551
102301,10,105191,104194,104433,104283,104583,104552
102301,11,999999,105191,999999,104284,999999,104554
102501,1,101251,101251,101371,101521,101611,101581
102501,2,102252,102251,102371,102461,101611,101581
102501,3,103251,102252,102372,102521,102612,102581
102501,4,103252,103251,103521,103521,102614,102582
102501,5,103222,103252,103371,103461,103612,103581
102501,6,104251,103222,103372,103522,103613,103582
102501,7,104252,104461,104371,103614,103222,103582
102501,8,104253,104252,104372,104461,104581,103614
102501,9,104254,104253,104523,104522,104582,104611
102501,10,105251,104254,104463,104523,104613,104612
102501,11,999999,105251,999999,104463,999999,104613
102601,1,101161,101161,101281,101431,101581,101581
102601,2,102163,102162,102341,102491,101581,101581
102601,3,103161,102163,102342,102432,102581,102581
102601,4,103162,103161,103341,103431,102582,102552
102601,5,103193,103162,103342,103432,103581,103551
102601,6,104161,103193,103343,103401,103552,103582
102601,7,104162,104161,104341,103583,103553,103582
102601,8,104163,104162,104432,104491,104551,103583
102601,9,104164,104163,104402,104432,104582,104581
102601,10,105161,104164,104433,104343,104583,104582
102601,11,999999,105161,999999,104344,999999,104583
102701,1,101191,101191,101401,101191,101551,101551
102701,2,102192,102191,102281,102191,101551,101551
102701,3,103191,102192,102282,102192,102551,102551
102701,4,103192,103191,103281,103191,102552,102552
102701,5,103193,103192,103371,103192,103551,103551
102701,6,104191,103193,103283,103192,103552,103552
102701,7,104192,104191,104281,103193,103553,103552
102701,8,104193,104192,104282,104191,104551,103553
102701,9,104194,104193,104283,104192,104552,104551
102701,10,105191,104194,104284,104193,104554,104552
102701,11,999999,105191,999999,104194,999999,104553
102801,1,101011,101011,101281,101401,101071,101551
102801,2,102013,102011,102311,102493,101071,101551
102801,3,103011,102013,102312,102401,102071,102551
102801,4,103012,103011,103281,103431,102552,102582
102801,5,103013,103012,103282,103401,103551,103551
102801,6,104011,103013,103283,103401,103552,103552
102801,7,104012,104491,104311,103553,103013,103582
102801,8,104013,104012,104282,104401,104551,103553
102801,9,104014,104013,104402,104432,104552,104551
102801,10,105011,104014,104433,104283,104553,104552
102801,11,999999,105011,999999,104284,999999,104553
102901,1,101011,101401,101281,101401,101551,101581
102901,2,102014,102491,102281,102493,101551,101581
102901,3,103011,102401,102282,102401,102162,102581
102901,4,103012,103431,103311,103431,102163,102582
102901,5,103013,103401,103282,103401,103551,103581
102901,6,104011,103583,103283,103401,103552,103582
102901,7,104012,104401,104311,103583,103583,103582
102901,8,104013,104012,104432,104491,104581,103583
102901,9,104014,104013,104313,104282,104582,104581
102901,10,105011,104014,104284,104402,104583,104582
102901,11,999999,105011,999999,104433,999999,104583
103001,1,101011,101011,101281,101401,101551,101581
103001,2,102041,102011,102281,102493,101011,101581
103001,3,103011,102041,102282,102401,102551,102581
103001,4,103041,103431,103281,103011,102041,102582
103001,5,103042,103012,103282,103401,103551,103581
103001,6,104041,103042,103283,103401,103041,103582
103001,7,104042,104041,104281,103553,103583,103401
103001,8,104043,104042,104312,104041,104551,103553
103001,9,104044,104043,104283,104042,104552,104551
103001,10,105041,104044,104284,104043,104553,104552
103001,11,999999,105041,999999,104044,999999,104554
103101,1,101011,101011,101281,101401,101551,101581
103101,2,102041,102011,102281,102493,101581,101581
103101,3,103011,102041,102282,102401,102551,102581
103101,4,103041,103011,103281,103431,102552,102582
103101,5,103042,103552,103282,103491,103551,103581
103101,6,104041,103042,103343,103491,103552,103582
103101,7,104042,104041,104281,103553,103583,103401
103101,8,104043,104042,104312,104401,104551,103553
103101,9,104044,104043,104402,104432,104552,104551
103101,10,105041,104044,104284,104402,104553,104552
103101,11,999999,105041,999999,104433,999999,104554
103201,1,101011,101011,101281,101401,101551,101581
103201,2,102013,102011,102311,102493,101011,101581
103201,3,103011,102013,102282,102401,102551,102581
103201,4,103012,103011,103311,103431,102013,102582
103201,5,103013,103012,103282,103012,103551,103581
103201,6,104011,103013,103283,103401,103552,103582
103201,7,104012,104491,104311,103553,103013,103582
103201,8,104013,104012,104282,104401,104551,103553
103201,9,104014,104013,104402,104432,104552,104551
103201,10,105011,104014,104284,104402,104553,104552
103201,11,999999,105011,999999,104433,999999,104553
103301,1,101161,101161,101281,101431,101161,101581
103301,2,102163,102191,102341,102491,101161,101581
103301,3,103161,102163,102342,102432,102162,102581
103301,4,103162,103161,103341,103431,102163,102582
103301,5,103193,103162,103342,103491,103161,103581
103301,6,104161,103193,103343,103491,103552,103582
103301,7,104162,104191,104341,103553,103583,103401
103301,8,104163,104192,104342,104491,104551,103553
103301,9,104164,104193,104283,104432,104552,104551
103301,10,105161,104194,104314,104343,104553,104552
103301,11,999999,105191,999999,104344,999999,104554
103401,1,101011,101011,101281,101401,101581,101581
103401,2,102014,102011,102281,102281,101581,101581
103401,3,103011,102014,102282,102401,102581,102581
103401,4,103012,103011,103281,103011,102582,102582
103401,5,103013,103012,103282,103401,103581,103581
103401,6,104011,103013,103343,103552,103582,103582
103401,7,104012,104401,104281,103553,103013,103582
103401,8,104013,104012,104432,104401,104581,103583
103401,9,104014,104013,104283,104282,104582,104581
103401,10,105011,104014,104284,104283,104583,104582
103401,11,999999,105011,999999,104284,999999,104583
103601,1,101251,101251,101371,101521,101611,101611
103601,2,102222,102221,102371,102461,101611,101611
103601,3,103221,102222,102372,102521,102611,102611
103601,4,103252,103521,103251,103611,102613,102613
103601,5,103222,103252,103371,103522,103611,103611
103601,6,104221,103222,103372,103522,103371,103613
103601,7,104222,104221,104371,103614,103614,103613
103601,8,104223,104222,104522,104221,104611,103614
103601,9,104224,104223,104462,104222,104612,104611
103601,10,105221,104224,104463,104223,104613,104612
103601,11,999999,105221,999999,104224,999999,104613
103701,1,101011,101071,101281,101401,101011,101551
103701,2,102041,102071,102281,102493,101551,101551
103701,3,103011,102041,102282,102401,102011,102551
103701,4,103041,103071,103281,103431,102552,102552
103701,5,103042,103041,103282,103401,103071,103551
103701,6,104041,103072,103283,103401,103552,103552
103701,7,104042,104071,104281,103553,103013,103552
103701,8,104043,104072,104282,104011,104551,103553
103701,9,104044,104013,104402,104012,104552,104551
103701,10,105041,104074,104284,104013,104554,104552
103701,11,999999,105071,999999,104014,999999,104553
103801,1,101131,101131,101071,101431,101551,101551
103801,2,102131,102071,102341,102431,101551,101551
103801,3,103071,102131,102131,102432,102551,102551
103801,4,103131,103071,103341,103551,102432,102552
103801,5,103132,103131,103342,103552,103341,103551
103801,6,104131,103132,103553,103342,103131,103552
103801,7,104132,104131,104341,103553,103132,103582
103801,8,104133,104132,104342,104131,104551,103553
103801,9,104134,104133,104343,104132,104552,104551
103801,10,105131,104134,104433,104133,104553,104552
103801,11,999999,105131,999999,104134,999999,104553
104001,1,101131,101131,101281,101431,101071,101551
104001,2,102131,102071,102341,102431,101551,101551
104001,3,103071,102131,102342,102432,102551,102551
104001,4,103131,103071,103341,103431,102552,102552
104001,5,103132,103131,103342,103432,103071,103551
104001,6,104131,103132,103343,103432,103552,103552
104001,7,104132,104131,104341,103553,103583,103582
104001,8,104133,104132,104342,104431,104551,103553
104001,9,104134,104133,104343,104432,104552,104551
104001,10,105131,104134,104344,104133,104583,104552
104001,11,999999,105131,999999,104134,999999,104553
104201,1,101251,101251,101371,101521,101611,101611
104201,2,102252,102251,102371,102461,101611,101611
104201,3,103251,102252,102372,102521,102612,102611
104201,4,103252,103251,103521,103521,102614,102613
104201,5,103222,103252,103371,103461,103612,103611
104201,6,104251,103222,103372,103522,103613,103613
104201,7,104252,104521,104371,103614,103583,103613
104201,8,104253,104252,104372,104461,104581,103614
104201,9,104254,104253,104523,104372,104582,104611
104201,10,105251,104254,104373,104462,104613,104612
104201,11,999999,105251,999999,104463,999999,104613
104301,1,101011,101011,101281,101401,101011,101551
104301,2,102041,102011,102281,102493,101011,101551
104301,3,103011,102041,102282,102401,102011,102551
104301,4,103041,103011,103281,103551,102041,102552
104301,5,103042,103041,103282,103401,103011,103551
104301,6,104041,103042,103283,103401,103041,103552
104301,7,104042,104041,104281,103583,103042,103552
104301,8,104043,104042,104282,104041,104551,103553
104301,9,104044,104043,104313,104042,104552,104551
104301,10,105041,104044,104344,104043,104554,104552
104301,11,999999,105041,999999,104044,999999,104553
104401,1,101251,101251,101371,101521,101611,101611
104401,2,102222,102221,102371,102461,101611,101611
104401,3,103221,102222,102372,102521,102611,102611
104401,4,103252,103521,103251,103611,102613,102613
104401,5,103222,103252,103371,103522,103611,103611
104401,6,104221,103222,103372,103522,103371,103613
104401,7,104222,104221,104371,103614,103614,103613
104401,8,104223,104222,104522,104221,104611,103614
104401,9,104224,104223,104462,104222,104612,104611
104401,10,105221,104224,104463,104223,104613,104612
104401,11,999999,105221,999999,104224,999999,104613
104501,1,101071,101521,101281,101431,101581,101581
104501,2,102521,102071,102371,102431,101581,101581
104501,3,103071,102521,102372,102432,102581,102581
104501,4,103101,103521,103521,103581,102582,102582
104501,5,103072,103522,103371,103461,103581,103581
104501,6,104071,103583,103372,103461,103371,103582
104501,7,104072,104371,104461,103583,103583,103582
104501,8,104073,104072,104372,104461,104581,103583
104501,9,104074,104073,104523,104372,104582,104581
104501,10,105071,104074,104373,104462,104583,104582
104501,11,999999,105071,999999,104463,999999,104583
104601,1,101071,101071,101281,101431,101551,101551
104601,2,102041,102071,102431,102431,101551,101551
104601,3,103071,102041,102342,102432,102551,102551
104601,4,103041,103431,103341,103431,102552,102552
104601,5,103072,103041,103342,103432,103551,103551
104601,6,104071,103072,103343,103432,103552,103552
104601,7,104072,104071,104341,103553,103072,103552
104601,8,104073,104072,104342,104431,104551,103553
104601,9,104074,104073,104343,104342,104582,104551
104601,10,105071,104074,104433,104343,104553,104552
104601,11,999999,105071,999999,104344,999999,104554
104701,1,101011,101401,101281,101401,101551,101581
104701,2,102014,102491,102281,102493,101551,101581
104701,3,103011,102401,102282,102401,102162,102581
104701,4,103012,103431,103311,103431,102163,102582
104701,5,103013,103401,103282,103401,103551,103581
104701,6,104011,103583,103283,103401,103552,103582
104701,7,104012,104401,104311,103583,103583,103582
104701,8,104013,104012,104432,104491,104581,103583
104701,9,104014,104013,104313,104312,104582,104581
104701,10,105011,104014,104284,104402,104553,104582
104701,11,999999,105011,999999,104433,999999,104583
104801,1,101161,101191,101281,101431,101161,101581
104801,2,102163,102191,102311,102493,101161,101581
104801,3,103161,102192,102282,102401,102162,102581
104801,4,103162,103191,103281,103431,102163,102582
104801,5,103193,103162,103282,103491,103161,103581
104801,6,104161,103193,103283,103432,103162,103582
104801,7,104162,104191,104311,103553,103583,103401
104801,8,104163,104192,104432,104491,104581,103553
104801,9,104164,104193,104402,104432,104552,104551
104801,10,105161,104194,104314,104402,104553,104552
104801,11,999999,105191,999999,104433,999999,104553
104901,1,101011,101011,101281,101401,101551,101581
104901,2,102014,102011,102281,102493,101551,101551
104901,3,103011,102014,102282,102401,102551,102581
104901,4,103012,103011,103311,103431,102552,102552
104901,5,103013,103012,103282,103491,103551,103581
104901,6,104011,103013,103283,103491,103552,103582
104901,7,104012,104491,104311,103553,103583,103552
104901,8,104013,104012,104432,104401,104581,103553
104901,9,104014,104013,104283,104432,104582,104551
104901,10,105011,104014,104314,104402,104583,104552
104901,11,999999,105011,999999,104433,999999,104583
105001,1,101251,101251,101371,101521,101611,101611
105001,2,102222,102221,102371,102461,101611,101611
105001,3,103221,102222,102372,102521,102611,102611
105001,4,103252,103221,103521,103611,102613,102613
105001,5,103222,103252,103371,103522,103611,103611
105001,6,104221,103222,103372,103522,103371,103613
105001,7,104222,104221,104371,103614,103222,103613
105001,8,104223,104222,104522,104221,104611,103614
105001,9,104224,104223,104462,104222,104612,104611
105001,10,105221,104224,104463,104223,104613,104612
105001,11,999999,105221,999999,104224,999999,104613
105101,1,101011,101011,101011,101401,101551,101551
105101,2,102013,102011,102281,102493,101551,101551
105101,3,103011,102013,102013,102401,102551,102551
105101,4,103012,103011,103311,103431,102552,102552
105101,5,103013,103012,103282,103401,103551,103551
105101,6,104011,103013,103283,103401,103552,103552
105101,7,104012,104011,104281,103553,103583,103552
105101,8,104013,104012,104312,104491,104581,103553
105101,9,104014,104013,104402,104282,104582,104551
105101,10,105011,104014,104314,104283,104583,104552
105101,11,999999,105011,999999,104284,999999,104553
105201,1,101011,101161,101281,101401,101431,101581
105201,2,102013,102162,102311,102493,101401,101581
105201,3,103011,102163,102312,102401,102581,102581
105201,4,103012,103161,103311,103431,102401,102582
105201,5,103013,103162,103282,103491,103581,103581
105201,6,104011,103193,103283,103491,103401,103552
105201,7,104012,104161,104311,103583,103583,103491
105201,8,104013,104162,104312,104401,104581,103583
105201,9,104014,104163,104283,104312,104582,104581
105201,10,105011,104164,104314,104313,104583,104582
105201,11,999999,105161,999999,104314,999999,104583
105301,1,101011,101071,101281,101401,101011,101581
105301,2,102013,102071,102281,102491,101011,101581
105301,3,103071,102013,102282,102401,102581,102581
105301,4,103012,103011,103281,103431,102013,102582
105301,5,103072,103012,103282,103401,103011,103581
105301,6,104011,103072,103343,103401,103012,103582
105301,7,104012,104071,104281,103553,103013,103582
105301,8,104013,104072,104342,104401,104551,103583
105301,9,104014,104073,104343,104342,104552,104581
105301,10,105011,104074,104344,104343,104554,104582
105301,11,999999,105071,999999,104344,999999,104583
105401,1,101101,101101,101281,101431,101581,101551
105401,2,102101,102071,102341,102491,101581,101551
105401,3,103071,102101,102342,102432,102581,102551
105401,4,103101,103071,103341,103431,102582,102552
105401,5,103072,103101,103342,103432,103581,103551
105401,6,104101,103072,103343,103401,103552,103342
105401,7,104102,104101,104341,103583,103553,103582
105401,8,104103,104102,104432,104491,104581,103583
105401,9,104104,104103,104343,104102,104582,104551
105401,10,105101,104104,104344,104343,104553,104552
105401,11,999999,105101,999999,104344,999999,104553
105701,1,101011,101011,101281,101401,101011,101551
105701,2,102013,102011,102281,102493,101551,101551
105701,3,103011,102013,102282,102401,102011,102551
105701,4,103012,103011,103281,103431,102552,102552
105701,5,103013,103012,103282,103401,103071,103551
105701,6,104011,103013,103283,103401,103552,103552
105701,7,104012,104011,104281,103553,103013,103552
105701,8,104013,104012,104282,104011,104551,103553
105701,9,104014,104013,104402,104012,104552,104551
105701,10,105011,104014,104284,104013,104554,104552
105701,11,999999,105011,999999,104014,999999,104553
105801,1,101011,101071,101281,101401,101551,101581
105801,2,102013,102011,102311,102493,101431,101581
105801,3,103011,102401,102282,102401,102011,102551
105801,4,103012,103011,103311,103581,102401,102582
105801,5,103013,103401,103282,103432,103581,103551
105801,6,104011,103013,103283,103491,103401,103582
105801,7,104012,104491,104311,103583,103583,103401
105801,8,104013,104012,104432,104491,104581,103583
105801,9,104014,104013,104283,104282,104582,104581
105801,10,105011,104014,104314,104283,104583,104582
105801,11,999999,105011,999999,104433,999999,104583
105901,1,101161,101161,101281,101431,101581,101551
105901,2,102163,102162,102341,102491,101581,101551
105901,3,103161,102163,102342,102432,102581,102551
105901,4,103162,103161,103341,103431,102582,102552
105901,5,103193,103162,103342,103432,103581,103551
105901,6,104161,103193,103343,103401,103552,103342
105901,7,104162,104161,104341,103583,103553,103582
105901,8,104163,104162,104432,104491,104581,103583
105901,9,104164,104163,104343,104342,104582,104581
105901,10,105161,104164,104433,104343,104583,104582
105901,11,999999,105161,999999,104433,999999,104583
106001,1,101251,101251,101371,101521,101611,101611
106001,2,102222,102221,102371,102461,101611,101611
106001,3,103221,102222,102372,102521,102611,102611
106001,4,103252,103221,103521,103521,102613,102613
106001,5,103222,103252,103371,103522,103611,103611
106001,6,104221,103222,103372,103522,103371,103613
106001,7,104222,104221,104371,103614,103222,103613
106001,8,104223,104222,104522,104221,104611,103614
106001,9,104224,104223,104462,104222,104612,104611
106001,10,105221,104224,104463,104223,104613,104612
106001,11,999999,105221,999999,104224,999999,104613
106301,1,101131,101131,101281,101551,101131,101551
106301,2,102131,102071,102341,102551,101131,101551
106301,3,103071,102131,102342,102552,102071,102551
106301,4,103131,103071,103341,103431,102131,102552
106301,5,103132,103131,103342,103342,103071,103551
106301,6,104131,103132,103343,103432,103131,103552
106301,7,104132,104131,104341,103553,103132,103582
106301,8,104133,104132,104342,104131,104551,103553
106301,9,104134,104133,104343,104132,104552,104551
106301,10,105131,104134,104433,104133,104554,104552
106301,11,999999,105131,999999,104134,999999,104553
107501,1,101011,101011,101281,101401,101011,101551
107501,2,102013,102011,102281,102071,101551,101551
107501,3,103011,102013,102282,102401,102011,102551
107501,4,103012,103011,103281,103431,102552,102552
107501,5,103013,103012,103282,103401,103071,103551
107501,6,104011,103013,103283,103401,103552,103552
107501,7,104012,104011,104281,103013,103553,103552
107501,8,104013,104012,104282,104011,104551,103553
107501,9,104014,104013,104402,104012,104552,104551
107501,10,105011,104014,104284,104013,104553,104552
107501,11,999999,105011,999999,104014,999999,104554
107601,1,101161,101161,101281,101431,101581,101581
107601,2,102163,102162,102341,102491,101581,101581
107601,3,103161,102163,102342,102432,102581,102581
107601,4,103162,103161,103341,103431,102582,102582
107601,5,103193,103162,103342,103432,103581,103581
107601,6,104161,103193,103343,103401,103582,103582
107601,7,104162,104161,104341,103583,103614,103582
107601,8,104163,104162,104432,104491,104581,103614
107601,9,104164,104163,104343,104432,104582,104581
107601,10,105161,104164,104433,104343,104583,104582
107601,11,999999,105161,999999,104344,999999,104583
107701,1,101251,101251,101371,101521,101611,101581
107701,2,102252,102251,102371,102461,101611,101581
107701,3,103251,102252,102372,102521,102612,102581
107701,4,103252,103251,103521,103521,102614,102582
107701,5,103222,103252,103371,103461,103612,103581
107701,6,104251,103222,103372,103522,103613,103582
107701,7,104252,104461,104371,103614,103222,103582
107701,8,104253,104252,104372,104461,104581,103614
107701,9,104254,104253,104462,104522,104582,104611
107701,10,105251,104254,104373,104523,104583,104612
107701,11,999999,105251,999999,104463,999999,104613
107801,1,101251,101251,101371,101521,101611,101611
107801,2,102222,102221,102371,102461,101611,101611
107801,3,103221,102222,102372,102521,102611,102611
