emblem_id,disp_oder,type,emblem_name,description_mission_id,event_emblem,start_time,end_time
10201075,201078,2,"Your Punishment Awaits...",56011075,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201076,201079,2,Saren,56011076,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201077,201080,2,"Saren Fan",56011077,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201078,201081,2,"Everyone's Favorite Mama",56011078,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201079,201082,2,Nozomi,56011079,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201080,201083,2,"Nozomi Fan",56011080,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201081,201084,2,"Top Idol",56011081,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201082,201085,2,Ninon,56011082,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201083,201086,2,"Ninon Fan",56011083,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201084,201087,2,"Conqueror of the Lands",56011084,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201085,201088,2,Shinobu,56011085,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201086,201089,2,"Shinobu Fan",56011086,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201087,201090,2,"Daddy's Little Medium",56011087,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201088,201091,2,Akino,56011088,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201089,201092,2,"Akino Fan",56011089,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201090,201093,2,"Personal Knight",56011090,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201091,201094,2,Mahiru,56011091,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201092,201095,2,"Mahiru Fan",56011092,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201093,201096,2,"Cultivating Laughs",56011093,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201094,201097,2,Yukari,56011094,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201095,201098,2,"Yukari Fan",56011095,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201096,201099,2,"I'll Drink to That!",56011096,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201097,201101,2,Kyoka,56011097,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201098,201102,2,"Kyoka Fan",56011098,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201099,201103,2,"Very Suspicious Creep",56011099,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201100,201104,2,Tomo,56011100,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201101,201105,2,"Tomo Fan",56011101,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201102,201106,2,Grandfather-Approved,56011102,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201103,201107,2,Shiori,56011103,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201104,201108,2,"Shiori Fan",56011104,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201105,201109,2,"Feeling Good Today",56011105,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201106,201110,2,Aoi,56011106,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201107,201111,2,"Aoi Fan",56011107,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201108,201112,2,"BB Brigade Buddy",56011108,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201109,201113,2,Chika,56011109,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201110,201114,2,"Chika Fan",56011110,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201111,201115,2,"Songstress of the Wind",56011111,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201112,201116,2,Makoto,56011112,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201113,201117,2,"Makoto Fan",56011113,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201114,201118,2,"Now I'm Motivated!",56011114,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201115,201119,2,Illya,56011115,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201116,201120,2,"Illya Fan",56011116,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201117,201121,2,"Eternal Ruler of the Night",56011117,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201118,201122,2,Kuka,56011118,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201119,201123,2,"Kuka Fan",56011119,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201120,201124,2,"Eheh... Gueheheh...",56011120,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201121,201125,2,Tamaki,56011121,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201122,201126,2,"Tamaki Fan",56011122,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201123,201127,2,Meowzer!,56011123,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201124,201128,2,Jun,56011124,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201125,201129,2,"Jun Fan",56011125,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201126,201130,2,"You're Safe with Me",56011126,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201127,201131,2,Mifuyu,56011127,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201128,201132,2,"Mifuyu Fan",56011128,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201129,201133,2,"Always Efficient",56011129,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201130,201134,2,Shizuru,56011130,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201131,201135,2,"Shizuru Fan",56011131,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201132,201136,2,"Leave It to Big Sis",56011132,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201133,201137,2,Misaki,56011133,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201134,201138,2,"Misaki Fan",56011134,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201135,201139,2,"Proper Lady",56011135,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201136,201140,2,Mitsuki,56011136,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201137,201141,2,"Mitsuki Fan",56011137,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201138,201142,2,"One-Eyed Devil",56011138,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201139,201143,2,Lima,56011139,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201140,201144,2,"Lima Fan",56011140,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201141,201145,2,"Llima, Llima! ♪",56011141,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201142,201147,2,Monika,56011142,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201143,201148,2,"Monika Fan",56011143,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201144,201149,2,"Commander of the Whitewings",56011144,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201145,201150,2,Tsumugi,56011145,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201146,201151,2,"Tsumugi Fan",56011146,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201147,201152,2,"Dressmaking Idol",56011147,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201148,201153,2,Ayumi,56011148,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201149,201154,2,"Ayumi Fan",56011149,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201150,201155,2,"I-I'm Always Watching!",56011150,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201151,201156,2,Ruka,56011151,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201152,201157,2,"Ruka Fan",56011152,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201153,201158,2,"Boss Lady's #1 Follower",56011153,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201154,201159,2,Djeeta,56011154,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201155,201160,2,"Djeeta Fan",56011155,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201156,201161,2,"Farer of the Grand Blue Sky",56011156,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201157,201162,2,Pecorine,56011157,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201158,201163,2,"Pecorine Fan",56011158,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201159,201164,2,"How Crazy Is That?! ☆",56011159,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201160,201166,2,Kokkoro,56011160,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201161,201167,2,"Kokkoro Fan",56011161,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201162,201168,2,"My Dearest Lord",56011162,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201163,201170,2,Karyl,56011163,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201164,201171,2,"Karyl Fan",56011164,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201165,201172,2,"Beyond Wild!",56011165,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201166,201174,2,Muimi,56011166,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201167,201175,2,"Muimi Fan",56011167,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201168,201176,2,"Call Me Novem!",56011168,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201169,201177,2,Arisa,56011169,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201170,201178,2,"Arisa Fan",56011170,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201171,201179,2,"Me, You and Losaria...",56011171,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201172,201180,2,Christina,56011172,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201173,201181,2,"Christina Fan",56011173,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201174,201182,2,"Regina Geas",56011174,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201175,201183,2,"Pecorine (Summer)",56011175,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201176,201184,2,"Pecorine (Summer) Fan",56011176,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201177,201185,2,"Gourmet Princess of the Beach",56011177,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201178,201186,2,"Kokkoro (Summer)",56011178,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201179,201187,2,"Kokkoro (Summer) Fan",56011179,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201180,201188,2,"Vacationing With My Lord",56011180,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201181,201189,2,"Suzume (Summer)",56011181,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201182,201190,2,"Suzume (Summer) Fan",56011182,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201183,201191,2,"It's Time for Work!",56011183,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201184,201192,2,"Karyl (Summer)",56011184,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201185,201193,2,"Karyl (Summer) Fan",56011185,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201186,201194,2,"Get Your Eyes off Me!",56011186,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201187,201195,2,"Tamaki (Summer)",56011187,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201188,201196,2,"Tamaki (Summer) Fan",56011188,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201189,201197,2,"Top Cat on the Beach",56011189,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201190,201198,2,"Mifuyu (Summer)",56011190,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201191,201199,2,"Mifuyu (Summer) Fan",56011191,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201192,201200,2,"Ultimate Resort Builder",56011192,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201193,201201,2,"Shinobu (Halloween)",56011193,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201194,201202,2,"Shinobu (Halloween) Fan",56011194,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201195,201203,2,"Halloween Psychic",56011195,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201196,201204,2,"Miyako (Halloween)",56011196,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201197,201205,2,"Miyako (Halloween) Fan",56011197,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201198,201206,2,"Trick or Pudding!",56011198,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201199,201207,2,"Misaki (Halloween)",56011199,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201200,201208,2,"Misaki (Halloween) Fan",56011200,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201201,201209,2,"The Pumpkin Witch",56011201,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201202,201210,2,"Chika (Holiday)",56011202,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201203,201211,2,"Chika (Holiday) Fan",56011203,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201204,201212,2,"A Song for the Holidays!",56011204,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201205,201213,2,"Kurumi (Holiday)",56011205,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201206,201214,2,"Kurumi (Holiday) Fan",56011206,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201207,201215,2,"Holiday Bells for Everyone",56011207,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201208,201216,2,"Ayane (Holiday)",56011208,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201209,201217,2,"Ayane (Holiday) Fan",56011209,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201210,201218,2,"It's Santa! ♪",56011210,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201211,201219,2,"Hiyori (New Year)",56011211,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201212,201220,2,"Hiyori (New Year) Fan",56011212,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201213,201221,2,"Check Out My Fortune!",56011213,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201214,201222,2,"Yui (New Year)",56011214,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201215,201223,2,"Yui (New Year) Fan",56011215,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201216,201224,2,"New Beginnings, Together",56011216,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201217,201225,2,"Rei (New Year)",56011217,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201218,201226,2,"Rei (New Year) Fan",56011218,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201219,201227,2,"Staying True to Myself",56011219,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201220,201228,2,"Eriko (Valentine)",56011220,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201221,201229,2,"Eriko (Valentine) Fan",56011221,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201222,201230,2,"Sweeter Than Chocolate",56011222,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201223,201231,2,"Shizuru (Valentine)",56011223,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201224,201232,2,"Shizuru (Valentine) Fan",56011224,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201225,201233,2,"Siblings on Valentine's",56011225,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201226,201234,2,Anne,56011226,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201227,201235,2,"Anne Fan",56011227,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201228,201236,2,"May the Spirits Bless You!",56011228,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201229,201237,2,Lou,56011229,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201230,201238,2,"Lou Fan",56011230,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201231,201239,2,"Spoil Me!",56011231,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201232,201240,2,Grea,56011232,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201233,201241,2,"Grea Fan",56011233,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201234,201242,2,"My Flames Will Protect You!",56011234,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201235,201243,2,"Kuka (Oedo)",56011235,0,"2022/04/05 23:00:00","2030/01/01 23:59:59"
10201236,201244,2,"Kuka (Oedo) Fan",56011236,0,"2022/04/05 23:00:00","2030/01/01 23:59:59"
10201237,201245,2,"The Whirling Wonder",56011237,0,"2022/04/05 23:00:00","2030/01/01 23:59:59"
10201238,201246,2,"Ninon (Oedo)",56011238,0,"2022/04/22 23:00:00","2030/01/01 23:59:59"
10201239,201247,2,"Ninon (Oedo) Fan",56011239,0,"2022/04/22 23:00:00","2030/01/01 23:59:59"
10201240,201248,2,"Ninja Justice no Jutsu!",56011240,0,"2022/04/22 23:00:00","2030/01/01 23:59:59"
10201241,201249,2,Rem,56011241,0,"2022/05/02 23:00:00","2030/01/01 23:59:59"
10201242,201250,2,"Rem Fan",56011242,0,"2022/05/02 23:00:00","2030/01/01 23:59:59"
10201243,201251,2,"Fanatical as a Demon",56011243,0,"2022/05/02 23:00:00","2030/01/01 23:59:59"
10201244,201252,2,Ram,56011244,0,"2022/05/02 23:00:00","2030/01/01 23:59:59"
10201245,201253,2,"Ram Fan",56011245,0,"2022/05/02 23:00:00","2030/01/01 23:59:59"
10201246,201254,2,"Tater Queen",56011246,0,"2022/05/02 23:00:00","2030/01/01 23:59:59"
10201247,201255,2,Emilia,56011247,0,"2022/05/19 23:00:00","2030/01/01 23:59:59"
10201248,201256,2,"Emilia Fan",56011248,0,"2022/05/19 23:00:00","2030/01/01 23:59:59"
10201249,201257,2,Victory!,56011249,0,"2022/05/19 23:00:00","2030/01/01 23:59:59"
10201250,201258,2,"Suzuna (Summer)",56011250,0,"2022/06/01 23:00:00","2030/01/01 23:59:59"
10201251,201259,2,"Suzuna (Summer) Fan",56011251,0,"2022/06/01 23:00:00","2030/01/01 23:59:59"
10201252,201260,2,"Bringing the Summer Fashion",56011252,0,"2022/06/01 23:00:00","2030/01/01 23:59:59"
10201253,201261,2,"Io (Summer)",56011253,0,"2022/06/01 23:00:00","2030/01/01 23:59:59"
10201254,201262,2,"Io (Summer) Fan",56011254,0,"2022/06/01 23:00:00","2030/01/01 23:59:59"
10201255,201263,2,"Seaside Rendezvous",56011255,0,"2022/06/01 23:00:00","2030/01/01 23:59:59"
10201256,201264,2,"Saren (Summer)",56011256,0,"2022/06/19 23:00:00","2030/01/01 23:59:59"
10201257,201265,2,"Saren (Summer) Fan",56011257,0,"2022/06/19 23:00:00","2030/01/01 23:59:59"
10201258,201266,2,"An Honest Summer with You",56011258,0,"2022/06/19 23:00:00","2030/01/01 23:59:59"
10201259,201267,2,"Makoto (Summer)",56011259,0,"2022/07/04 23:00:00","2030/01/01 23:59:59"
10201260,201268,2,"Makoto (Summer) Fan",56011260,0,"2022/07/04 23:00:00","2030/01/01 23:59:59"
